"RegionName","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06"
"New York","NY","New York","Queens",1,1900,1900,1850,1972.5,2000,2000,2050,2100,2097.5,2200,2100,2000,2100,2100,2100,2100,2150,2195,2195,2150,2100,2095,2095,2100,2100,2150,2189,2175,2150,2195,2195,2200,2200,2200,2190,2200,2200,2200,2200,2200,2200,2200,2261,2275,2250,2265,2250,2250,2250,2250,2295,2295,2200,2150,2150,2200,2200,2175,2195,2200,2200,2250,2200,2200,2150,2200,2200,2200,2195,2150,2150,2150,2155,2177,2185,2162,2195,2190,2200,2250,2265,2000,2100,2200,2200,2200,2200,2200
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,,,,,,,,,,,,,,,,,,1100,1010,895,850,850,850,863.5,918.5,925,905,899,895,900,950,925,925,945,950,1017.5,1032.5,1025,1071,1050,995,1095,1050,1050,945,1000,1065.5,1050,999,1028,1095,1115,1195,1295,1245,1200,1200,1295,1275,1285,1295,1300,1295,1360,1375,1375,1375,1375,1350,1350,1425,1445,1525,1495,1560,1500,1610,1495,1535,1452.5,1495,1395,1450,1625,1875,1695,1636.5,1800
"Chicago","IL","Chicago","Cook",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544,1375,1287,1326.5,1300,1200,1150,1354,1393.5,1438.5,1391,1341,1424,1278,1200,1224,1150,1150,1155,1212.5,1285,1353,1355,1300,1195,1175,1150,1150,1150
"Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1409,1375,1389,1365.5,1365,1367.5,1350,1383,1304,1245,1285,1309,1195,1135,1277,1275,1239,1225,1247,1220
"Philadelphia","PA","Philadelphia","Philadelphia",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869.5,850,900,995,950,950,925,925,900,900,950,950,955,990,995,1050,1035,1015,990,1032.5,1045,1095,950,1000,1025,1032.5,1057.5,1050,1045,1025
"Phoenix","AZ","Phoenix","Maricopa",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.5,701.5,663.5,670,689,692,680,698,681,694,715,693,690,720,684.5,758,790,775,792
"San Diego","CA","San Diego","San Diego",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1495.5,1535,1575,1579,1505,1584,1600,1650,1680,1680,1378.5,1433,1584,1540,1550,1577.5,1400,1487.5,1530,1350,1495,1385,1395,1525,1680,1739,1660,1725,1729,1660
"Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929,903,940,940,925,940,950,924,1006,1006,1010,964,985,1058,1029.5,1018,985,974,1035,967.5,965,967.5,995,1045,1046,1111,1103,1106.5,1090,1103.5,1125,1147,1075.5,1101.5,1075,1098,1125,1149.5,1084.5,1170,1170,1165,1145,1150,1160
"San Jose","CA","San Jose","Santa Clara",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2145,2115,2115,2173,2110,2181,2313,2365,2335,2335,2345,2365,2295,2330,2290,2185,2210,2267.5,2355,2047.5,2202,2060,2080,2027.5,2255,2225,2290,2282.5,2180,2223
"Jacksonville","FL","Jacksonville","Duval",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615,600,637,645,647.5,629,700,680,700,680,766.5,700,700,712.5,738,745,747.5,735,735,738,780,796.5,745,741.5,738,700,745,764,822.5,810,804,840,884.5
